En Python, quelle est la sortie de print(3 * 4) ?; 12; 34; 7; 14; 1; In Python, what's the output of print (3*4) ?; 12; 34; 7; 14; 1; 在 Python 中，print (3 * 4) 的输出是什么？ ; 12; 34; 7; 14; 1; 
Quel est le résultat de 2 ** 3 en Python ?; 8; 6; 5; 4; 1; What is the result of 2 ** 3 in Python?; 8; 6; 5; 4; 1; Python 中 2 ** 3 的结果是什么？ ; 8; 6; 5; 4; 1; 
Quelle fonction Python permet d'obtenir la racine carrée d'un nombre ?; sqrt; root; pow; abs; 1; Which Python function is used to get the square root of a number?; sqrt; root; pow; abs; 1;
Que fait l'expression x % 2 en Python ?; Vérifie si x est impair; Vérifie si x est pair; Donne le quotient de x divisé par 2; Donne le reste de la division de x par 2; 4; What does the expression x % 2 do in Python?; Checks if x is odd; Checks if x is even; Gives the quotient of x divided by 2; Gives the remainder of the division of x by 2; 4; Python 中表达式 x % 2 的作用是什么？; 检查 x 是否为奇数; 检查 x 是否为偶数; 给出 x 除以 2 的商; 给出 x 除以 2 的余数; 4;
En Python, quel est le résultat de abs(-5) ?; 5; -5; 0; 10; 1; In Python, what is the result of abs(-5)?; 5; -5; 0; 10; 1; 在 Python 中，abs(-5) 的结果是什么？ ; 5; -5; 0; 10; 1;
Quelle méthode Python permet de calculer la puissance d'un nombre ?; pow; exp; abs; log; 1; Which Python method is used to calculate the power of a number?; pow; exp; abs; log; 1; Python 中用于计算数字的幂的方法是什么？ ; pow; exp; abs; log; 1;
Quel est le résultat de 10 / 3 en Python 3 ?; 3.3333333333333335; 3; 3.33; 4; 1; What is the result of 10 / 3 in Python 3?; 3.3333333333333335; 3; 3.33; 4; 1; Python 3 中 10 / 3 的结果是什么？ ; 3.3333333333333335; 3; 3.33; 4; 1;
En JavaScript, quelle méthode est utilisée pour arrondir un nombre à l'entier le plus proche ?; Math.round(); Math.floor(); Math.ceil(); Math.trunc();; 1; In JavaScript, which method is used to round a number to the nearest integer?; Math.round(); Math.floor(); Math.ceil(); Math.trunc(); 1; 在 JavaScript 中，用于将数字四舍五入到最接近的整数的方法是什么？; Math.round(); Math.floor(); Math.ceil(); Math.trunc(); 1;
En Python, quelle fonction permet de trouver la valeur absolue d'un nombre ?; abs; fabs; sqrt; value; 1; In Python, which function is used to find the absolute value of a number?; abs; fabs; sqrt; value; 1; Python 中用于找到数字的绝对值的函数是什么？ ; abs; fabs; sqrt; value; 1;
En Python, que retourne float('3.14') ?; 3.14; '3.14'; 3; 3.14159; 1; In Python, what does float('3.14') return?; 3.14; '3.14'; 3; 3.14159; 1; Python 中 float('3.14') 返回什么？ ; 3.14; '3.14'; 3; 3.14159; 1;
